Asset Name;Type;Criticality;Classification;Owner;Location
Other Linux (64-bit);Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
TX Pfsense;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp.seacom.io copy;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Mtunzini
cp2.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp3.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp4.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp5.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp6.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp7.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp8.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
iris-dev01.seacom.mu;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Mtunzini
iris-poll01.seacom.mu;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
mx2.seacom.mu;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
ns-01-emg.za;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Mtunzini
prod%20server%20unomena%20;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
sl-01-emg;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
vs-01-emg v 7.0;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
hr back up;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;London
ln-02-lhr.uk.seacomnet.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;London
sl-02-lhr.uk.seacomnet.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;London
Dee-Windows-MRS;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Marseille
George's_VM;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Marseille
ln-01-mrs.fr;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Marseille
ns-01-mrs;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Marseille
ns-04-mrs.fr;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Marseille
sl-01-mrs;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Marseille
ln-02-dar;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Dar es Salaam
vs-01-dat.tz;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Dar es Salaam
vs-01-pnq.in;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Dar es Salaam
Alma-8.10;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
CIENA JUMPBOX;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Mtunzini
Ciena Control One;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
Ciena License;Virtual Machine;Medium;Confidential;Infrastructure / Virtualisation;Mtunzini
DCN Radius;Virtual Machine;High;Confidential;Infrastructure / Virtualisation;Mtunzini
EMG-Lansweeper;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
Infinera Dna;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
Tejas EMS;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
Transmission Radius;Virtual Machine;High;Confidential;Infrastructure / Virtualisation;Mtunzini
insight.seacom.mu;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
logger;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
nautobox;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
netbox;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
rs-01-jhb.za.seacomnet.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
tx-MNC;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
tx-mcp-lic;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
tx-mcp1;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
watz test;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Mtunzini
E-Tax Signer(Martin Sadera);Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
Project & Visio Workstation;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
ns-01-mpm;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Maputo
vs-01-mpm v 7.0;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Maputo
Doreen-Windows VM EU jumpbox;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Marseille
CDN Tester;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Nairobi
Fusion-vspa;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
dee-test;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Nairobi
lg-01-nbo.ke;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
vs-01-cpt recordings (dont delete);Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Cape Town
vs-01-cpt v 7.0;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Cape Town
Alma-8.10;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
Anomaly Utilitsation Notification;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
Fusion-vspa;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
Spylnx aaa-01-emg;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Mtunzini
dns-01-emg;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Mtunzini
dnsflow.seacom.com;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Mtunzini
insight;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
ipa.seacomnet.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
ns-01-emg.za;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Mtunzini
sl-01-emg.za;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
Mikrotik_radius-rs-01-jnb;Virtual Machine;High;Confidential;Infrastructure / Virtualisation;Johannesburg
db1.seacom.mu;Virtual Machine;Medium;Confidential;Infrastructure / Virtualisation;Johannesburg
ess.seacom.mu;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
glam_server;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
vip.seacomnet.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Fusion-LHR;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;London
Netscout Sightline TRA -02;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;London
Netscout Sightline TRA-02;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;London
ns-01-lhr.uk.seacomnet.com;Virtual Machine;High;Internal;Infrastructure / Virtualisation;London
ns-04-lhr.uk.seacomnet.com;Virtual Machine;High;Internal;Infrastructure / Virtualisation;London
Dyn Probe-MBA;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
MicroServices;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
NTP Server-DCN;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
Tech-connect.com VPC;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
compute1;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
compute2;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
control-node;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
devbok;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Mombasa
looking_glass;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
ns-02-mba.ke;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Mombasa
seacom.mu;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
sl-01-mba;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
BT MOZ Sentry;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Maputo
ns-03-mpm.mz;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Maputo
ns-04-mpm.mz;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Maputo
sl-01-mpm;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Maputo
Fusion-NBO;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
Packet_Design;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
ems-01-nbo.ke;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
ln-02-nbo.ke;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
ns-01-nbo.ke;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Nairobi
sl-01-nbo.ke;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
MS Monitoring;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Cape Town
aaa-01-cpt;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Cape Town
ns-01-cpt.za;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Cape Town
ns-03-cpt;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Cape Town
Fusion-vTA;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
Google WOC Server;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
Packet_Design;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
iris_nbo;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Nairobi
Ciena Control One;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mombasa
Ciena License;Virtual Machine;Medium;Confidential;Infrastructure / Virtualisation;Mombasa
dnsflows;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Johannesburg
docs.seacom.mu;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
ln-02-jnb;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
iris-poll03.seacom.mu_Johannesburg;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Ansible Tower Engineering;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
BI360_DB;Virtual Machine;Medium;Confidential;Infrastructure / Virtualisation;Johannesburg
IP TAC VM-JNB;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Powerbi-Gw;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Windows-Filezilla;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Zcaler;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
bi360-app;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
grafana;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
kentik JNB;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
mikrotik poc;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Johannesburg
ns-03-jnb.za.seacomnet.com;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Johannesburg
poudriere.seacomnet.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
seacom-soa-dev01;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Johannesburg
Oxidized;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
netalert-jnb-office;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
vs-01-jnb v 7.0;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Bi360 -Solver 2;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Latency Web;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Netscout Sightline UI;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Netscout Sightline UI -V02;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Production Racktables;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
as37100;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
ns-01-jnb Master;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Johannesburg
ns-02-jnb.za;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Johannesburg
sl-01-jnb.za;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
vs-02-jnb v 7.0;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Alma-Rhel-staging;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Johannesburg
Viavi;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
awx;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
awx-dev;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Johannesburg
dblatency;Virtual Machine;Medium;Confidential;Infrastructure / Virtualisation;Johannesburg
dee-vm2;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
it-02-jnb;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
nms.seacomnet.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
oxidised;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
vcenter-01;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Johannesburg
Bi360 -Solver 2;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Doreen;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
PDU POC;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Johannesburg
flow.seacom.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
observium_prod;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
oxidized-qa;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Unknown
ln-01-jnb.za;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
ln-03-jnb.za.seacomnet.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Fusion-vspa;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Cape Town
Splynx;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Cape Town
dev-box;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Cape Town
ns-02-cpt;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Cape Town
radius splynx;Virtual Machine;High;Confidential;Infrastructure / Virtualisation;Cape Town
sl-01-cpt.za;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Cape Town
Spylnx aaa-01-emg;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Mtunzini
Fusion-Controller14.x;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
Fusion-vspa;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
IP-Eng-Jumpbox;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Johannesburg
Iris-dev;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Johannesburg
Splynx;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
dns_stats;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Johannesburg
flow.seacom.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg
ggc-lnx;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Johannesburg